Club name,Country,League,Total Market Value (in M),Squad size,Average age,Number of national team players
Excelsior Rotterdam,Netherlands,Keuken Kampioen Divisie,6.37,25,21.8,6
Exeter City,England,League Two,2.07,25,24.9,6
F. Algodres,Portugal,,,2,23.0,1
F. Düsseldorf,Germany,2. Bundesliga,23.20,30,26.1,10
F. Invicta,England,,,13,28.9,0
F. Swinoujscie,Poland,3 Liga - Group II,,25,26.1,3
F91 Dudelange,Luxembourg,BGL Ligue,2.09,30,25.4,16
FA Laval,France,,,0,,
FA Selangor,Malaysia,,,4,22.3,1
FAR Rabat,Morocco,Coupe du Trône Marocaine,7.76,26,25.7,6
FB (FCN II),,,,,,
FBC Melgar,Peru,Copa Sudamericana,8.33,29,24.8,5
FBK Kaunas,Lithuania,A Lyga,,0,,
FC 08 Homburg,Germany,Regionalliga Südwest,2.21,26,25.6,6
FC 105 Libreville,Gabon,,,6,33.2,1
FC Aarau,Switzerland,Challenge League,6.35,26,23.7,10
FC Aboomoslem,Iran,Hazfi Cup,,0,,
FC Adelaide City,Australia,,113,13,29.3,3
FC Alazani,Georgia,,,2,29.5,0
FC Alverca,Portugal,Taça de Portugal Placard,1.44,30,25.5,19
FC Andorra,Andorra,Primera División R.F.E.F. - Grupo II,5.00,25,25.2,25
FC Arges,Romania,Liga 1 - Championship group,7.81,27,27.5,9
FC Arouca,Portugal,Liga Portugal,12.60,29,26.8,22
FC Ascona,Switzerland,2. Liga interregional - Gruppe 4,,27,25.5,15
FC Asgabat,Turkmenistan,,,7,32.5,0
FC Ashdod,Israel,Ligat ha'Al,7.70,24,24.3,6
FC Astana,Kazakhstan,Premier Liga,13.01,25,26.3,11
FC Augsburg,Germany,Bundesliga,88.92,28,25.8,17
FC Baden 1897,Switzerland,1. Liga group 3,,23,25.1,3
FC Baden,Switzerland,1. Liga group 3,,23,25.1,3
FC Baku,Azerbaijan,Premyer Liqa,,5,30.2,0
FC Balzers,Liechtenstein,Liechtensteiner Cup,45,27,25.1,16
FC Baniyas,United Arab Emirates,AFC Champions League-Qualification,11.28,33,24.8,9
FC Baokang,China,,,0,,
FC Barcelona,Spain,LaLiga,585.90,30,25.5,15
FC Basel,Switzerland,Super League,54.23,29,23.2,20
FC Bassin d'Arcachon,France,,,11,30.2,4
FC Baulmes,Switzerland,2. Liga interregional - Gruppe 2,,3,30.3,2
FC Bayern,Germany,Bundesliga,733.73,26,25.7,14
FC Berlin,Germany,Landespokal Berlin,,37,24.0,8
FC Biel-Bienne,Switzerland,Promotion League,878,25,25.4,10
FC Blagnac,France,Coupe de France,90,33,27.3,4
FC Boshuizen,Netherlands,,,15,27.1,2
FC Botosani,Romania,Liga 1 - Relegation group,7.82,33,24.2,12
FC Brasov (ext),,,,,,
FC Brasov,Romania,Liga 2,2.04,34,24.1,5
FC Brügge,Belgium,Jupiler Pro League,144.50,29,24.9,18
FC Brüssel,Belgium,,,0,,
FC Burgsolms,Germany,,,6,28.3,0
FC Béziers M.,,,,,,
FC Canavese,Italy,Lega Pro Seconda Divisione - Girone A,,0,,
FC Cartagena,Spain,LaLiga2,11.25,24,29.5,10
FC Chambly,France,Championnat National,7.16,29,25.4,5
FC Chiasso,Switzerland,Promotion League,1.35,28,23.1,16
FC Copenhagen,Denmark,Superligaen,50.04,28,24.7,19
FC Cournon,France,Coupe de France,,20,24.3,2
FC Crotone,Italy,Serie B,18.38,28,24.0,12
FC Den Bosch,Netherlands,Keuken Kampioen Divisie,4.23,28,22.5,8
FC Den Haag,,,,,,
FC Dender,Belgium,Beker van Belgie,,0,,
FC Denderleeuw,Belgium,Beker van Belgie,,0,,
FC Dieppe,France,Coupe de France,,26,28.4,2
FC Dila,Georgia,Crystalbet Erovnuli Liga,3.89,23,23.9,8
FC Dinamo,Ukraine,Premier Liga,97.65,27,25.3,3
FC Dordrecht,Netherlands,Keuken Kampioen Divisie,4.10,27,22.6,11
FC Dossenheim,Germany,,,9,30.1,1
FC Drouais,France,,,5,36.4,3
FC Edmonton,Canada,Canadian Premier League,2.05,21,23.8,10
FC Eilenburg,Germany,Regionalliga Nordost,518,28,24.7,6
FC Eindhoven,Netherlands,Keuken Kampioen Divisie,4.32,25,23.0,6
FC Emmen,Netherlands,Keuken Kampioen Divisie,7.31,32,23.9,9
FC Empoli,Italy,Serie A,81.99,28,25.2,11
FC Energie Cottbus,Germany,Regionalliga Nordost,2.23,26,23.8,3
FC Extensiv Craiova,,,,,,
FC Famalicão,Portugal,Liga Portugal,43.16,31,23.5,18
FC Felgueiras 1932,Portugal,Taça de Portugal Placard,990,24,24.1,6
FC Flora,Estonia,Premium Liiga,4.06,26,24.0,0
FC Fredericia,Denmark,1.Division,4.91,21,23.8,3
FC Gießen,Germany,Regionalliga Südwest,914,25,25.7,8
FC Girondins Bordeaux,France,Ligue 1,79.16,31,25.0,17
FC Gloria Buzău,,,,,,
FC Grenchen,Switzerland,2. Liga interregional - Gruppe 5,,22,24.6,8
FC Grenoble JI,,,,,,
FC Groning.,,,,,,
FC Groningen,Netherlands,Eredivisie,20.77,27,22.5,13
FC Gueugnon,France,Championnat National,90,30,26.2,7
FC Gundelfingen,Germany,Bayernliga Süd,,25,24.4,0
FC Gute,Germany,Oberliga Westfalen,,26,26.1,3
FC Gütersloh,Germany,Oberliga Westfalen,,26,26.1,3
FC Haguenau,,,,,,
FC Haka,Finland,Liigacup,2.16,27,22.6,8
FC Hansa Rostock,Germany,2. Bundesliga,11.79,31,26.4,8
FC Hermannstadt,Romania,Liga 2,4.93,36,23.6,5
FC Hjörring,Denmark,,,2,20.0,0
FC Hlucin,Czech Republic,Moravskoslezska fotbalova liga,270,23,24.0,0
FC Honka,Finland,Liigacup,3.02,24,23.7,10
FC Imabari,Japan,J3 League,2.48,33,24.2,4
FC Ingolstadt 04,Germany,2. Bundesliga,11.57,32,25.5,12
FC Internazionale,Italy,Serie A,476.01,25,30.0,17
FC Issy,France,Coupe de France,,18,38.7,2
FC Istres Ouest Provence,,,,,,
FC Jazz Pori,Finland,Kakkonen - Group C,135,1,24.0,1
FC Jokerit,Finland,Regions Cup,,5,28.0,0
FC Juárez,Mexico,Liga MX Clausura,28.89,32,27.4,12
FC KTP,Finland,Ykkönen Cup,1.01,20,24.5,3
FC Knokke,Belgium,1ste Nationale,540,23,24.9,2
FC Koper,Slovenia,Prva Liga,5.29,26,25.1,11
FC Kotayk,Armenia,,,20,,0
FC Kranenburg,Netherlands,,,1,39.0,0
FC Kufstein,Austria,Regionalliga Tirol,,26,24.7,8
FC Kuusysi,Finland,Kolmonen Etelä Group C,,23,33.7,2
FC Kärnten,Austria,ÖFB-Cup,,0,,
FC Lahti,Finland,Liigacup,2.00,22,24.5,8
FC Le Mans,France,Championnat National,5.94,25,24.6,9
FC Liefering,Austria,2. Liga,18.43,30,18.2,15
FC Lisse,Netherlands,Derde Divisie Saturday,,24,25.0,1
FC Locarno,Switzerland,2. Liga interregional - Gruppe 4,135,22,27.3,7
FC Locomotive,Georgia,Crystalbet Erovnuli Liga,2.03,26,21.8,0
FC Lorient,France,Ligue 1,47.52,27,25.6,10
FC Lugano,Switzerland,Super League,17.24,29,24.9,14
FC Lustenau,Austria,Vorarlbergliga,,31,24.4,8
FC Luzern,Switzerland,Super League,17.73,31,24.3,16
FC Maia Lidador,Portugal,,,12,26.7,3
FC Mantois,France,Championnat National 2 - Groupe B,90,26,24.9,8
FC Marco,,,,,,
FC Marinhas,Portugal,,,0,,
FC Martigues,France,Championnat National 2 - Groupe C,1.36,25,28.6,8
FC Mendrisio,Switzerland,2. Liga interregional - Gruppe 4,32,26,24.7,8
FC Merani,Georgia,David Kipiani Cup,414,24,26.9,2
FC Messina Peloro,,,,,,
FC Metz,France,Ligue 1,79.38,29,25.7,17
FC Midtjylland,Denmark,Superligaen,42.84,31,24.0,16
FC Miesbach,Germany,,,3,34.3,0
FC Moscow,,,,,,
FC Mugnano,Italy,Serie D play-off,113,9,25.3,0
FC NITEL Lagos,Nigeria,,,2,34.5,0
FC Namys,Kazakhstan,Premier Liga,,23,24.0,0
FC Nantes,France,Ligue 1,80.55,26,26.0,12
FC National,Cambodia,,23,1,18.0,0
FC Neubrandenb.,,,,,,
FC Nitra,Slovakia,Fortuna Liga - Relegation Group,315,15,20.7,3
FC Oberneuland,Germany,Regionalliga Nord Playoffs,531,27,23.7,7
FC Olympic,Uzbekistan,O'zbekiston Superligasi,2.69,30,19.8,0
FC Omniworld,Netherlands,,,1,24.0,0
FC Oss,Netherlands,O21 Divisie 1 Spring,293,27,19.2,2
FC Otranto,Italy,,45,8,28.9,2
FC Pampilhosa,Portugal,,,11,29.5,5
FC Pasching,Austria,,,0,,
FC Paços de Ferreira,Portugal,Liga Portugal,17.24,29,25.2,16
FC Pedras Rubras,Portugal,Taça de Portugal Placard,,25,25.3,12
FC Penafiel,Portugal,Liga Portugal 2,4.46,27,27.5,6
FC Pipinsried,Germany,Regionalliga Bayern,936,24,24.3,7
FC Porto,Portugal,Liga Portugal,233.37,26,26.4,14
FC Presikhaaf,,,,,,
FC Rapid,Romania,Liga 1 - Relegation group,9.56,31,25.6,7
FC Remscheid,Germany,Landesliga Niederrhein - Gruppe 3,,29,22.9,9
FC Rodopa,Bulgaria,Bulgarian Cup,122,25,26.6,0
FC Rouen 1899,France,Championnat National 2 - Groupe A,270,22,27.0,5
FC Saint-Leu,France,Coupe de France,,9,32.3,4
FC Sambiase,Italy,,,2,18.0,0
FC Samtredia,Georgia,Crystalbet Erovnuli Liga,1.56,25,26.0,5
FC Sapins,Gabon,,,1,42.0,1
FC Saxan,Moldova,Divizia Nationala (bis 2016/17),,9,26.3,0
FC Schaffhausen,Switzerland,Challenge League,5.18,28,23.9,17
FC Schalke 04,Germany,2. Bundesliga,29.03,27,26.4,15
FC Senec,Slovakia,,,0,,
FC Sens,France,,,0,,
FC Seoul,"Korea, South",K League 1,13.19,41,24.5,4
FC Sheriff,Moldova,Divizia Nationala,17.17,30,24.2,24
FC Shkupi,North Macedonia,Prva Makedonska Fudbalska Liga,5.00,26,23.6,10
FC Sion,Switzerland,Super League,17.21,35,26.2,17
FC Snagov,Romania,Liga 2,,6,34.6,0
FC Sochaux-Montbéliard,France,Ligue 2,16.70,24,24.6,8
FC Sochi,Russia,Premier Liga,28.58,21,28.4,6
FC Sopron,Hungary,Nemzeti Bajnokság,,0,,
FC St. Gallen,Switzerland,Super League,21.65,31,23.2,13
FC St. Pauli,Germany,2. Bundesliga,22.73,30,25.1,13
FC Starnberg,Germany,Oberliga Bayern (bis 07/08),,0,,
FC Système,DR Congo,,,0,,
FC São Paulo,Brazil,Campeonato Paulista - Série A1,69.03,33,25.0,7
FC Sète 34,France,Championnat National,5.72,30,25.0,7
FC Thun,Switzerland,Challenge League,4.91,26,24.3,9
FC Timisoara,,,,,,
FC Tiraspol,Moldova,Divizia Nationala (bis 2016/17),,0,,
FC Tirol,Austria,,,1,28.0,0
FC Tirsense,Portugal,Taça de Portugal Placard,248,22,25.2,3
FC Togliatti,Russia,Russian Cup,,0,,
FC Tokyo,Japan,J. League Cup,15.44,44,24.6,6
FC Tosno (-2018),,,,,,
FC Toulouse,France,Ligue 2,24.48,26,23.6,14
FC Tours,France,Coupe de France,,13,25.8,2
FC Twente,Netherlands,Eredivisie,19.08,26,23.7,7
FC U Craiova,Romania,Liga 1 - Relegation group,6.52,28,25.1,12
FC United,Sweden,Superettan,2.05,25,23.4,9
FC Utrecht,Netherlands,Eredivisie,28.13,26,25.5,8
FC Vaduz,Liechtenstein,Liechtensteiner Cup,5.65,29,24.2,25
FC Vaslui,Romania,Cupa României,,0,,
FC Veris,Moldova,Europa League Qualifying,,0,,
FC Vesoul,France,Coupe de France,,11,36.3,3
FC Viitorul,Romania,,423,8,20.9,1
FC Villarreal,Spain,UEFA Champions League,325.80,26,27.8,12
FC Villefranche,France,Championnat National,4.86,24,26.8,5
FC Vinkenslag,Netherlands,,,0,,
FC Vizela,Portugal,Liga Portugal,14.09,24,26.8,15
FC Volendam,Netherlands,Keuken Kampioen Divisie,7.43,36,22.4,12
FC Voluntari,Romania,Liga 1 - Championship group,9.95,27,26.4,10
FC Vysocina,Czech Republic,Fortuna Narodni liga,3.38,27,23.1,8
FC Wacker,Austria,2. Liga,4.98,32,23.9,12
FC Wageningen,Netherlands,Keuken Kampioen Divisie,,0,,
FC Wakefield,England,,,2,26.0,1
FC Wil 1900,Switzerland,Challenge League,4.50,27,22.7,11
FC Windsor,England,,,5,33.3,1
FC Winterthur,Switzerland,Challenge League,6.12,32,23.3,7
FC Wohlen,Switzerland,1. Liga group 2,90,26,24.3,10
FC Zestafoni,Georgia,David Kipiani Cup,180,16,26.8,0
FC Zwolle,,,,,,
FC Zürich,Switzerland,Super League,24.62,29,24.9,16
FC Évian Thonon Gaillard,,,,,,
FCG Rouen,,,,,,
FCI Levadia,Estonia,Premium Liiga,4.73,25,27.4,8
FCM Campina,Romania,,,0,,
FCM Targu Mures,,,,,,
FCO Dijon,France,,293,20,19.1,9
FCSB,Romania,Liga 1 - Championship group,28.42,32,24.3,4
FCV Dender EH,Belgium,1ste Nationale,45,25,25.3,2
FF Jaro,Finland,Ykkönen Cup,738,20,23.9,6
FFC Viktoria 91,Germany,,,0,,
FK Andijon,Uzbekistan,O'zbekiston Superligasi,1.31,16,25.3,3
FK Astana 1964,,,,,,
FK Berane,Montenegro,2. CFL,360,34,22.7,2
FK Bezanija,Serbia,Prva liga Srbije,,3,22.0,0
FK Brest,Belarus,Belarusian Cup,,19,32.3,0
FK Buducnost,Montenegro,Telekom 1. CFL,3.74,21,25.9,0
FK Drnovice,Czech Republic,Fortuna Liga,,1,30.0,0
FK Indjija,Serbia,Prva liga Srbije,2.99,29,24.7,4
FK Jablonec,Czech Republic,Fortuna Liga,7.52,28,26.5,4
FK Jerv,Norway,Relegation Eliteserien,4.30,21,24.2,8
FK Kaluga,Russia,Russian FNL-2 Group 3,2.47,28,23.7,1
FK Khimki,Russia,Premier Liga,23.60,28,26.3,10
FK Krasnodar,Russia,Premier Liga,60.14,23,25.3,6
FK Kukësi,Albania,Abissnet Superiore,4.28,25,25.8,11
FK Laktasi,Bosnia-Herzegovina,Premijer Liga,9,20,22.8,4
FK Loznica,Serbia,Prva liga Srbije,2.58,24,24.8,0
FK Lviv 1992,,,,,,
FK Lyn,Norway,NM-Cup,720,34,24.5,0
FK Mariupol,Ukraine,Premier Liga,7.07,28,21.5,0
FK Minsk,Belarus,Vysheyshaya Liga,3.15,25,22.5,2
FK Molodechno,Belarus,Belarusian Cup,,17,24.6,0
FK Moskau,Russia,Premier Liga,,0,,
FK Most,Belarus,Belarusian Cup,,21,29.6,0
FK Mozdok,Russia,,,0,,
FK Mozyr-ZLiN,,,,,,
FK Nizhny Novgorod,Russia,Premier Liga,13.64,24,25.8,7
FK Novgorod,Russia,Relegation Premier Liga,,0,,
FK Obilic,Montenegro,,,11,21.7,1
FK Obninsk,Russia,,,0,,
FK Oleksandriya,Ukraine,Premier Liga,9.32,26,24.8,2
FK Olimpik,Uzbekistan,O'zbekiston Superligasi,2.69,30,19.8,0
FK Orenburg,Russia,1.Division,10.06,27,25.9,8
FK Partizani,Albania,Abissnet Superiore,4.59,31,23.5,9
FK Pirmasens,Germany,Landespokal Südwest,788,24,24.9,1
FK Qabala,Azerbaijan,Premyer Liqa,4.70,26,23.4,9
FK Riga,Latvia,Virsliga - Meisterrunde,,0,,
FK Rostov,Russia,Premier Liga,34.65,29,23.8,8
FK Rudar Ugljevik,Bosnia-Herzegovina,Kup BIH,,3,21.7,1
FK Ryazan,Russia,Russian FNL-2 Group 3,2.50,26,22.8,0
FK Rybinsk,Russia,Russian Cup,,0,,
FK Sarajevo,Bosnia-Herzegovina,Kup BIH,5.92,28,25.5,8
FK Saransk,Russia,Russian FNL-2 Group 3,2.79,24,25.0,0
FK Senica,Slovakia,Fortuna Liga - Relegation Group,2.63,26,22.7,12
FK Sevastopol,Russia,Russian Cup,,15,29.0,0
FK Slavyanskiy,Russia,Russian Cup,,0,,
FK Sochi,Russia,Premier Liga,28.58,21,28.4,6
FK Tambov,Russia,Premier Liga,,0,,
FK Teplice,Czech Republic,Fortuna Liga,6.08,33,26.3,7
FK Tyumen,Russia,Russian FNL-2 Group 4,4.23,28,24.5,1
FK Ufa,Russia,Premier Liga,20.30,26,26.7,10
FK Volgograd,Russia,Russian Cup,,0,,
FK Zemun,Serbia,Kup Srbije,869,28,22.1,2
FK Zvezdara,Serbia,,203,27,21.6,1
FLC Thanh Hoa,Vietnam,V.League 1,1.96,30,26.6,4
FS Stars,South Africa,Nedbank Cup,293,28,25.8,2
FSV Erlangen-B.,Germany,Landesliga Bayern Nordost,,29,22.4,5
FSV Frankfurt,Germany,Regionalliga Südwest,2.03,28,24.6,6
FSV Zwickau,Germany,3. Liga,4.12,26,26.0,5
FShM Torpedo 19,Russia,,,2,21.0,2
FShM Torpedo,Russia,,,2,21.0,2
FUS Rabat,Morocco,Coupe du Trône Marocaine,5.83,28,24.7,3
FV 08 Püttlingen,Germany,Landespokal Saarland,,15,27.7,0
FV Bad Honnef,Germany,Landesliga Mittelrhein Staffel 1,,38,23.8,16
FV Dresden 06,Germany,Landespokal Sachsen,,28,25.7,1
FV Progres,Germany,,,0,,
FV Speyer,Germany,,,0,,
FVC,Netherlands,KNVB beker,,8,25.3,0
Fabriano,Italy,Serie D - Girone F,72,15,24.8,0
Fabril Barreiro,Portugal,Taça de Portugal Placard,,34,26.1,6
Fabus Br.,Russia,Russian Cup,,2,36.5,0
Faenza Calcio,Italy,Italy Cup,,3,28.3,0
Fafe,Portugal,Taça de Portugal Placard,203,27,26.4,4
Faisaly,Saudi Arabia,Saudi Professional League,13.57,37,27.5,7
Fakel Voronezh,Russia,1.Division,7.11,23,27.4,1
Fakel-M,Russia,Russian FNL-2 Group 3,1.35,31,19.3,0
Falkenberg,Sweden,Svenska Cupen,1.99,24,23.6,4
Falkirk FC,Scotland,Scottish League One,450,24,25.4,5
Fanfulla,Italy,Serie D - Girone D,635,28,21.1,3
Farnborough,England,FA Cup,,20,26.4,1
Farsley,England,National League North,90,31,26.2,2
Farul Constanta,Romania,Liga 1 - Championship group,11.94,29,23.0,4
Farum BK,Denmark,,,0,,
Fasano,Italy,Serie D - Girone H,819,23,22.9,9
Fehérvár FC,Hungary,Nemzeti Bajnokság,19.40,27,27.7,16
Feirense Sub-23,Portugal,Liga Revelação U23,,0,,
Felino,Italy,,158,15,23.3,4
Fenegrò,Italy,,,5,25.6,0
Fenerbahce Yth,Turkey,,,0,,
Fenerbahce,Turkey,Süper Lig,121.79,28,25.9,15
Feralpisalò,Italy,Serie C - Girone A,4.19,27,26.6,1
Ferencváros,Hungary,Nemzeti Bajnokság,40.37,31,26.8,24
Ferentino,Italy,,122,14,24.7,0
Fermana,Italy,Serie C - Girone B,2.90,29,25.6,1
Ferreira Aves,Portugal,Taça de Portugal Placard,248,20,24.9,4
Ferrini,Italy,,,7,27.4,0
Ferriolense,Spain,,,3,25.0,2
Ferroviária,Brazil,Campeonato Paulista - Série A1,3.56,39,25.6,1
Ferroviário,Brazil,Copa do Brasil,6.26,32,28.1,1
Fetteh Feyenoord,Ghana,,,1,34.0,0
Feyenoord Rotterdam,Netherlands,Eredivisie,119.66,25,23.7,12
Fidelis Andria,Italy,Serie C - Girone C,2.84,27,25.3,1
Figline,Italy,Serie C - Girone A,,15,24.9,1
Figueirense FC,Brazil,Copa do Brasil,720,31,25.0,0
Finn Harps,Ireland,SSE Airtricity League Premier Division,1.13,24,25.9,6
FinnPa,Finland,Veikkausliiga,,0,,
Fiorentina Yth.,Italy,,,13,15.2,1
Fiorenzuola,Italy,Serie C - Girone A,2.52,25,23.2,1
Fire Premier,United States,,,0,,
Fisher Athletic,England,,,1,40.0,0
Fiães,Portugal,,68,6,27.2,1
Flacara Faget,Romania,,,0,,
Flackwell Heath,England,,,2,33.0,0
Flamengo,Brazil,Campeonato Carioca - Final,136.67,28,27.7,2
Flamurtari FC,Albania,Kupa e Shqipërisë,428,20,25.1,1
Fleet Town FC,England,,,5,30.0,3
Fleetwood,England,League One,4.30,26,25.2,9
Flevo Boys,Netherlands,Hoofdklasse B Saturday,,27,25.4,1
Flint Town,Wales,Cymru Premier Championship Conference,1.01,23,27.0,10
Florentia,,,,,,
Floresta-CE,Brazil,Copa do Nordeste - Fase de Grupos,338,34,24.9,0
Floriana,Malta,Maltese FA Trophy,3.32,25,25.6,12
Florö SK,Norway,PostNord-ligaen Avd. 1,405,21,22.5,7
Fluminense,Brazil,Copa Libertadores,53.28,33,27.7,3
Fluminense-BA,Brazil,Campeonato Baiano,,14,29.3,0
Fogape Yaounde,Cameroon,,,2,35.0,0
Foggia Calcio,Italy,Serie C - Girone C,4.30,27,24.6,3
Folgore,Italy,Serie D - Girone B,1.08,28,21.7,5
Foligno,Italy,Serie D - Girone E,441,31,21.8,7
Folkestone Invicta,England,,,13,28.9,0
Fomalgaut,Belarus,,,0,,
Fondi,Italy,Play-out Serie C,,1,27.0,0
Fontenay-Foot-Vendée,,,,,,
Foolad,Iran,Persian Gulf Pro League,8.66,26,27.6,2
Football Kingz,,,,,,
Forest Green,England,League Two,2.23,24,23.7,8
Forfar Athletic,Scotland,Scottish League Two,180,24,26.5,1
Forjães SC,Portugal,,,13,27.0,0
Forlì,Italy,Serie D - Girone D,954,27,24.4,4
Formia Calcio,Italy,Play-off/out Lega Pro 2a Divisione,,10,23.5,2
Formigine,Italy,Serie D - Girone D,90,6,26.3,1
Fort Lauderdale Strikers (Original),,,,,,
Fortaleza,Brazil,,27.27,27,27.1,5
Fortis Juventus,Italy,Serie D - Girone D,135,13,25.6,0
Fortuna Düsseldorf,Germany,2. Bundesliga,23.20,30,26.1,10
Fortuna Sittard,Netherlands,Eredivisie,13.16,27,25.8,15
Fortuna du Mfou,Cameroon,,,3,22.7,0
Forum Sport,Netherlands,,,6,27.3,0
Foshan Fosidi,China,,,0,,
Fotbal Trinec,Czech Republic,Fortuna Narodni liga,3.49,22,26.3,3
Fram Reykjavík,Iceland,Lengjubikarinn,959,29,24.5,3
Franciacorta,Italy,Serie D - Girone B,986,24,23.4,4
Francs Borains,Belgium,1ste Nationale,518,24,23.9,12
Fraserburgh,Scotland,Highland Football League,,20,27.5,0
Freamunde,Portugal,Taça de Portugal Placard,,12,27.7,3
Frederiquense,Brazil,,,26,27.7,1
Fredrikstad,Norway,Relegation Eliteserien,3.22,24,23.5,4
Freetown United,,,,,,
Freialdenhoven,Germany,Mittelrheinliga,,21,27.3,3
Freiburger FC,Germany,Landespokal Südbaden,,31,22.8,1
Fremad Amager,Denmark,1.Division,3.17,24,23.4,1
Frenaros,Cyprus,,,1,26.0,1
Friburguense-RJ,Brazil,,,6,30.8,1
Frickley Athletic,England,,,44,29.7,2
Frome Town,England,,,11,31.6,2
Frosinone Calcio,Italy,Serie B,22.43,30,25.0,11
Fréjus-St-Raph.,France,Championnat National 2 - Groupe C,675,27,26.5,8
Fucense,Italy,,,4,26.5,0
Fuengirola,Spain,,,1,22.0,0
Fuerteventura,Spain,Segunda División B - Grupo II (till 20/21),,0,,
Fujairah SC,United Arab Emirates,UAE Pro League,819,20,24.3,5
Fujieda MYFC,Japan,J3 League,2.89,31,25.8,2
Fulham FC,England,Championship,132.30,26,26.8,19
Fulham Res.,,,,,,
Funda UAM,Venezuela,Torneo Clausura (till 2019),,0,,
Futebol Benfica,Portugal,,,8,28.4,1
Fylde,England,National League North,225,27,27.2,4
Fylkir,Iceland,Lengjubikarinn,860,27,23.9,1
Fútbol Cons.,Costa Rica,,23,10,22.4,1
Füchse Berlin,Germany,Berlin-Liga,,26,27.4,6
G. Ajaccio,France,Coupe de France,180,22,24.1,2
G. Bordeaux,France,Ligue 1,79.16,31,25.0,17
G. Figuerense,Portugal,,,0,,
G. Kachkanar,Russia,Russian Cup,,0,,
G. Schöneiche,Germany,Landespokal Brandenburg,,35,30.7,5
G. Wojkowice,Poland,,,2,37.5,0
GAIS,Morocco,Coupe du Trône Marocaine,7.76,26,25.7,6
GB Oftasspor,,,,,,
GC Biaschesi,Switzerland,2. Liga interregional - Gruppe 4,,6,29.2,3
GC Zürich,Switzerland,1. Liga group 2,968,21,20.0,9
GD Chaves,Portugal,Liga Portugal 2,4.86,30,26.7,16
GD Estoril Praia,Portugal,Liga Portugal,23.81,29,24.5,17
GD Interclube,Angola,,698,36,26.1,5
GD Joane,Portugal,,,4,28.3,0
GD Prado,Portugal,,,9,31.8,1
GD Ribeirão,Portugal,Taça de Portugal Placard,315,8,25.6,3
GD Serzedelo,Portugal,,113,11,26.5,3
GD Sunray Cave,,,,,,
GD Tourizense,Portugal,Taça de Portugal Placard,,3,22.7,0
GDR Bidoeirense,Portugal,,,0,,
GDRC Os Sandinenses,Portugal,,90,7,30.3,2
GDRC Social Lamas,Portugal,,,0,,
GE Juventus-SC,Brazil,Campeonato Catarinense,45,30,24.6,1
GFC Ajaccio,France,Coupe de France,180,22,24.1,2
GFCO Ajaccio,France,Coupe de France,180,22,24.1,2
GIF Sundsvall,Sweden,Svenska Cupen,5.07,24,24.7,2
GKS Belchatow,Poland,eWinner II liga,,0,,
GKS Katowice,Poland,Fortuna 1 Liga,2.57,27,24.3,1
GNFC,,,,,,
GNS-Spartak,Russia,,,11,25.7,0
GO Audax,Brazil,,,26,26.5,0
GS Consolat M.,,,,,,
GS Kallithea,Greece,Super League 2,4.01,30,25.5,6
GS Tianma,China,,,0,,
GSI Pontivy,France,Coupe de France,,23,22.7,2
GVAV Rapiditas,Netherlands,,,1,21.0,0
GVVV,Netherlands,Jack’s League,23,24,25.0,0
GZ City,China,Chinese Super League,6.23,33,27.3,4
GZ Evergrande,,,,,,
GZ H. Zhicheng,,,,,,
GZ Hengfeng,,,,,,
GZ R&F,China,,45,5,17.8,0
GZ Renhe,,,,,,
Gafanha,Portugal,Taça de Portugal Placard,,2,24.5,1
Gagra,Georgia,Crystalbet Erovnuli Liga,2.00,21,25.2,0
Gainsborough Trinity,England,FA Cup,180,26,27.1,2
Gainsborough,England,FA Cup,180,26,27.1,2
Gaish,Egypt,Egyptian Premier League,5.74,34,26.2,5
Galatasaray,Turkey,Süper Lig,95.63,28,27.1,14
Galaxy Dakar,Senegal,,,2,18.0,0
Galbiatese Oggiono,Italy,,,1,28.0,0
Gallia Club Lunel,France,,,6,34.2,0
Gallipoli,Italy,Serie D - Girone H,68,6,23.3,3
Galo Maringá,Brazil,,,1,36.0,0
Galway United,Ireland,SSE Airtricity League First Division,675,32,22.9,4
Galychyna Lviv,Ukraine,,,0,,
Galícia-BA,Brazil,,,4,35.0,0
Gamba Osaka,Japan,J1 League,13.43,32,25.6,6
Gandzasar,Armenia,Armenian First League,405,36,20.4,0
Gangneung City,"Korea, South",K3 League,1.20,34,22.6,2
Gangwon FC,"Korea, South",K League 1,12.20,50,23.6,4
Gap,Singapore,AFF Championship 2020,2.61,25,27.8,3
Gateshead FC,England,National League North,,24,24.7,4
Gateshead,England,National League North,,24,24.7,4
Gateway FC,Nigeria,,,0,,
Gavorrano,Italy,Serie D - Girone E,1.10,29,22.1,4
Gaz Metan,Romania,Liga 1 - Relegation group,1.65,22,20.5,5
Gaziantep BB,,,,,,
Gaziantep FK,Turkey,Süper Lig,26.19,26,27.0,14
Gaziantepspor,Turkey,2.Lig Beyaz,,0,,
Gazisehir,Turkey,U19 Süper Lig,45,33,17.9,2
Gazovik Orenburg,,,,,,
Geel-Meerhout,,,,,,
Gefle,Sweden,Ettan Norra,248,27,23.7,3
Gela Calcio Youth,Italy,,,0,,
Gelbison,Italy,Serie D - Girone I,1.32,29,23.9,2
Genclerbirligi,Turkey,1.Lig,7.00,28,24.1,8
Genclerbirliyi,Azerbaijan,,,0,,
